Close,Volume,High_Low_Pct,Open_Close_Pct,Day_Of_Week,Month_Of_Year,Quarter_Of_Year
12.6,1135,0.09401709401709414,-0.003968253968253884,2,11,4
12.4,1335,0.06451612903225798,-0.03225806451612906,3,11,4
11.2,920,0.08035714285714289,-0.05357142857142854,4,11,4
10.8,1600,0.05825242718446598,0.0,0,12,4
11.25,865,0.0660377358490567,0.0,1,12,4
11.15,860,0.03139013452914795,-0.004484304932735489,2,12,4
10.8,600,0.06132075471698117,0.0,3,12,4
10.75,590,0.0333333333333333,0.00465116279069774,4,12,4
11.05,860,0.027777777777777676,0.0,0,12,4
11.35,1175,0.03181818181818179,0.004405286343612398,1,12,4
11.3,685,0.017857142857142953,0.0,2,12,4
10.85,395,0.046296296296296294,-0.009216589861751119,3,12,4
10.6,840,0.04368932038834944,0.03773584905660381,4,12,4
10.85,480,0.023255813953488372,0.004608294930875642,0,12,4
10.7,590,0.028301886792452897,0.0,1,12,4
10.6,720,0.023923444976076555,-0.00943396226415091,2,12,4
10.55,805,0.019230769230769162,-0.004739336492891062,3,12,4
10.55,765,0.019230769230769162,-0.004739336492891062,4,12,4
10.7,1075,0.02857142857142864,0.018691588785046828,0,12,4
11.9,1620,0.09677419354838716,0.008403361344537785,1,12,4
11.9,1595,0.059322033898305024,-0.008403361344537785,2,12,4
11.8,1755,0.06306306306306315,-0.03389830508474579,3,12,4
11.6,1660,0.03982300884955746,0.0,4,12,4
11.9,915,0.03448275862068969,0.004201680672268818,5,12,4
11.8,1080,0.03004291845493559,-0.00847457627118656,0,12,4
11.9,705,0.025862068965517303,0.004201680672268818,1,12,4
11.9,1580,0.01694915254237282,0.0,3,1,1
11.85,890,0.00847457627118641,0.0,4,1,1
11.9,1170,0.01694915254237282,0.0,0,1,1
12.15,1440,0.025210084033613356,0.0,1,1,1
12.05,2075,0.03797468354430389,-0.004149377593361055,2,1,1
12.05,1940,0.01250000000000003,-0.004149377593361055,3,1,1
12.1,535,0.008333333333333304,-0.008264462809917326,4,1,1
12.0,865,0.012552301255230157,-0.004166666666666726,0,1,1
11.8,555,0.0211864406779661,0.0,1,1,1
11.55,645,0.02608695652173919,-0.008658008658008781,2,1,1
11.3,865,0.02690582959641246,-0.004424778761062009,3,1,1
11.5,770,0.045454545454545456,0.008695652173913012,4,1,1
11.5,435,0.030837004405286313,0.004347826086956583,0,1,1
11.35,771,0.03125000000000013,0.0,1,1,1
11.5,650,0.022222222222222223,-0.004347826086956583,2,1,1
11.4,750,0.017699115044247725,0.0,3,1,1
11.5,665,0.017621145374449435,0.0,4,1,1
11.35,465,0.013215859030837036,0.004405286343612398,0,1,1
11.45,385,0.00881057268722464,0.0,1,1,1
11.55,675,0.017543859649122744,0.0,2,1,1
11.8,640,0.02597402597402588,0.00423728813559313,3,1,1
11.95,1350,0.016877637130801777,-0.008368200836820055,4,1,1
11.85,530,0.008438818565400814,0.004219409282700482,5,2,1
12.0,510,0.012605042016806753,-0.008333333333333304,6,2,1
11.7,320,0.0347826086956522,0.0,0,2,1
11.85,565,0.017094017094017186,0.0,1,2,1
11.9,445,0.01271186440677954,-0.008403361344537785,2,2,1
11.8,215,0.004255319148936231,-0.00423728813559328,3,2,1
11.75,475,0.004255319148936231,-0.012765957446808541,4,2,1
11.6,525,0.013043478260869596,0.0,0,2,1
11.5,355,0.017543859649122744,0.0,1,2,1
11.5,415,0.013157894736842136,-0.004347826086956583,2,2,1
11.5,410,0.01310043668122274,0.008695652173913012,3,2,1
11.5,690,0.008695652173913012,0.0,4,2,1
11.3,510,0.045454545454545456,-0.01769911504424788,0,2,1
10.95,705,0.02304147465437788,-0.013698630136986172,2,2,1
11.3,495,0.046296296296296294,-0.008849557522124019,3,2,1
11.45,540,0.04017857142857153,-0.004366812227074143,4,2,1
11.4,555,0.017621145374449435,0.013157894736842136,0,3,1
11.3,275,0.03125000000000013,-0.008849557522124019,1,3,1
11.25,335,0.00896860986547082,-0.008888888888888858,2,3,1
11.15,420,0.009009009009008978,0.0044843049327353305,3,3,1
11.25,570,0.013513513513513545,-0.004444444444444508,4,3,1
11.15,730,0.022727272727272728,-0.004484304932735489,0,3,1
11.0,455,0.013698630136986335,0.0,1,3,1
11.0,710,0.009174311926605472,-0.00909090909090906,2,3,1
11.2,385,0.04587155963302752,0.0,3,3,1
11.2,125,0.008928571428571556,0.017857142857142953,4,3,1
